, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",104,5,35
"""Unemployment Insurance""",1,0,1
"""Supplemental Security Income (SSI)""",57,23,12
"""Social Security Disability Insurance (SSDI)""",42,11,13
"""VA Service - Connected Disability Compensation""",4,3,0
"""VA Non-Service Connected Disability Pension""",2,1,0
"""Private Disability Insurance""",2,0,1
"""Worker's Compensation""",1,0,1
"""Temporary Assistance for Needy Families (TANF)""",17,1,7
"""General Assistance (GA)""",1,0,0
"""Retirement Income from Social Security""",7,2,1
"""Pension or retirement income from a former job""",3,0,0
"""Child Support""",12,0,5
"""Alimony and other spousal support""",1,0,1
"""Other Source""",2,0,0
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,46,0
