"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",83,4,28
"""Adults with Only Other Income""",108,30,29
"""Adults with Both Earned and Other Income""",20,1,6
"""Adults with No Income""",155,11,42
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",7,0,1
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,180,0
"""Number of Adult Stayers without Required Annual Assessment""",0,41,0
"""Total Adults""",373,267,106
"""1 or More Source of Income""",228,38,71
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,46,0
