"""Total Number of Persons Served""",534
"""Number of Adults (age 18 or over)""",373
"""Number of Children (under age 18)""",159
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",154
"""Number of Adult Leavers""",106
"""Number of Adult and Head of Household Leavers""",107
"""Number of Stayers""",380
"""Number of Adult Stayers""",267
"""Number of Veterans""",24
"""Number of Chronically Homeless Persons""",79
"""Number of Youth Under Age 25""",22
"""Number of Parenting Youth Under Age 25 with Children""",9
"""Number of Adult Heads of Household""",304
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",87
