health_insurance,population,start_date,end_date,question,status,count
MEDICAID,all_persons,2018-09-01,2018-09-30,Q21,at_start,298
MEDICAID,all_persons,2018-09-01,2018-09-30,Q21,at_annual_assessment_for_stayers,29
MEDICAID,all_persons,2018-09-01,2018-09-30,Q21,at_exit_for_leavers,54
MEDICARE,all_persons,2018-09-01,2018-09-30,Q21,at_start,51
MEDICARE,all_persons,2018-09-01,2018-09-30,Q21,at_annual_assessment_for_stayers,15
MEDICARE,all_persons,2018-09-01,2018-09-30,Q21,at_exit_for_leavers,5
State Children's Health Insurance Program,all_persons,2018-09-01,2018-09-30,Q21,at_start,2
State Children's Health Insurance Program,all_persons,2018-09-01,2018-09-30,Q21,at_annual_assessment_for_stayers,0
State Children's Health Insurance Program,all_persons,2018-09-01,2018-09-30,Q21,at_exit_for_leavers,0
Veteran's Administration (VA) Medical Services,all_persons,2018-09-01,2018-09-30,Q21,at_start,11
Veteran's Administration (VA) Medical Services,all_persons,2018-09-01,2018-09-30,Q21,at_annual_assessment_for_stayers,13
Veteran's Administration (VA) Medical Services,all_persons,2018-09-01,2018-09-30,Q21,at_exit_for_leavers,0
Employer - Provided Health Insurance,all_persons,2018-09-01,2018-09-30,Q21,at_start,14
Employer - Provided Health Insurance,all_persons,2018-09-01,2018-09-30,Q21,at_annual_assessment_for_stayers,0
Employer - Provided Health Insurance,all_persons,2018-09-01,2018-09-30,Q21,at_exit_for_leavers,5
Health Insurance obtained through COBRA,all_persons,2018-09-01,2018-09-30,Q21,at_start,0
Health Insurance obtained through COBRA,all_persons,2018-09-01,2018-09-30,Q21,at_annual_assessment_for_stayers,0
Health Insurance obtained through COBRA,all_persons,2018-09-01,2018-09-30,Q21,at_exit_for_leavers,0
Private Pay Health Insurance,all_persons,2018-09-01,2018-09-30,Q21,at_start,26
Private Pay Health Insurance,all_persons,2018-09-01,2018-09-30,Q21,at_annual_assessment_for_stayers,1
Private Pay Health Insurance,all_persons,2018-09-01,2018-09-30,Q21,at_exit_for_leavers,1
State Health Insurance for Adults,all_persons,2018-09-01,2018-09-30,Q21,at_start,3
State Health Insurance for Adults,all_persons,2018-09-01,2018-09-30,Q21,at_annual_assessment_for_stayers,0
State Health Insurance for Adults,all_persons,2018-09-01,2018-09-30,Q21,at_exit_for_leavers,1
Indian Health Services Program,all_persons,2018-09-01,2018-09-30,Q21,at_start,1
Indian Health Services Program,all_persons,2018-09-01,2018-09-30,Q21,at_annual_assessment_for_stayers,0
Indian Health Services Program,all_persons,2018-09-01,2018-09-30,Q21,at_exit_for_leavers,1
Other,all_persons,2018-09-01,2018-09-30,Q21,at_start,4
Other,all_persons,2018-09-01,2018-09-30,Q21,at_annual_assessment_for_stayers,0
Other,all_persons,2018-09-01,2018-09-30,Q21,at_exit_for_leavers,2
No Health Insurance,all_persons,2018-09-01,2018-09-30,Q21,at_start,171
No Health Insurance,all_persons,2018-09-01,2018-09-30,Q21,at_annual_assessment_for_stayers,12
No Health Insurance,all_persons,2018-09-01,2018-09-30,Q21,at_exit_for_leavers,23
Client Doesn't Know/Client Refused,all_persons,2018-09-01,2018-09-30,Q21,at_start,0
Client Doesn't Know/Client Refused,all_persons,2018-09-01,2018-09-30,Q21,at_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2018-09-01,2018-09-30,Q21,at_exit_for_leavers,0
Data Not Collected,all_persons,2018-09-01,2018-09-30,Q21,at_start,20
Data Not Collected,all_persons,2018-09-01,2018-09-30,Q21,at_annual_assessment_for_stayers,66
Data Not Collected,all_persons,2018-09-01,2018-09-30,Q21,at_exit_for_leavers,0
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2018-09-01,2018-09-30,Q21,at_start,0
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2018-09-01,2018-09-30,Q21,at_annual_assessment_for_stayers,352
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2018-09-01,2018-09-30,Q21,at_exit_for_leavers,0
1 Source of Health Insurance,all_persons,2018-09-01,2018-09-30,Q21,at_start,332
1 Source of Health Insurance,all_persons,2018-09-01,2018-09-30,Q21,at_annual_assessment_for_stayers,29
1 Source of Health Insurance,all_persons,2018-09-01,2018-09-30,Q21,at_exit_for_leavers,58
More than 1 Source of Health Insurance,all_persons,2018-09-01,2018-09-30,Q21,at_start,37
More than 1 Source of Health Insurance,all_persons,2018-09-01,2018-09-30,Q21,at_annual_assessment_for_stayers,13
More than 1 Source of Health Insurance,all_persons,2018-09-01,2018-09-30,Q21,at_exit_for_leavers,5
