dv_history,total,population,start_date,end_date,question,household_type,count
Yes,52,all_persons,2018-09-01,2018-09-30,Q14a,without_children,23
Yes,52,all_persons,2018-09-01,2018-09-30,Q14a,with_children_and_adults,29
Yes,52,all_persons,2018-09-01,2018-09-30,Q14a,with_only_children,0
Yes,52,all_persons,2018-09-01,2018-09-30,Q14a,unknown_household_type,0
No,305,all_persons,2018-09-01,2018-09-30,Q14a,without_children,209
No,305,all_persons,2018-09-01,2018-09-30,Q14a,with_children_and_adults,95
No,305,all_persons,2018-09-01,2018-09-30,Q14a,with_only_children,1
No,305,all_persons,2018-09-01,2018-09-30,Q14a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2018-09-01,2018-09-30,Q14a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2018-09-01,2018-09-30,Q14a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2018-09-01,2018-09-30,Q14a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2018-09-01,2018-09-30,Q14a,unknown_household_type,0
Data Not Collected,6,all_persons,2018-09-01,2018-09-30,Q14a,without_children,5
Data Not Collected,6,all_persons,2018-09-01,2018-09-30,Q14a,with_children_and_adults,1
Data Not Collected,6,all_persons,2018-09-01,2018-09-30,Q14a,with_only_children,0
Data Not Collected,6,all_persons,2018-09-01,2018-09-30,Q14a,unknown_household_type,0
