, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",174,115,59,0,0
"""8 to 14 days""",32,24,8,0,0
"""15 to 21 days""",18,18,0,0,0
"""22 to 30 days""",12,10,2,0,0
"""31 to 60 days""",25,20,5,0,0
"""61 to 180 days""",100,72,28,0,0
"""181 to 365 days""",61,50,10,1,0
"""366-730 days (1-2 years)""",48,48,0,0,0
"""731 days or more""",115,102,11,2,0
"""Total (persons moved into housing)""",585,459,123,3,0
"""Not yet moved into housing""",42,25,17,0,0
"""Data not collected""",86,39,34,8,5
"""Total persons""",713,523,174,11,5
