, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",0,0,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",67,26,41,0,0
"""Rental by client, with VASH subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",1,1,0,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",6,0,6,0,0
"""Staying or living with friends, permanent tenure""",2,0,2,0,0
"""Rental by client, with RRH or equivalent subsidy""",3,0,3,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",10,1,9,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",89,28,61,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",22,7,15,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",30,11,19,0,0
"""Staying or living with friends, temporary tenure""",31,13,18,0,0
"""Place not meant for human habitation""",50,34,16,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",38,13,22,0,3
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",171,78,90,0,3
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",0,0,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",0,0,0,0,0
"""Jail, prison, or juvenile detention facility""",1,1,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Subtotal""",1,1,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",0,0,0,0,0
"""Other""",0,0,0,0,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected (no exit interview completed)""",0,0,0,0,0
"""Subtotal""",0,0,0,0,0
"""Total""",261,107,151,0,3
"""Total persons exiting to positive housing destinations""",15,4,11,0,0
"""Total persons whose destinations excluded them from the calculation""",0,0,0,0,0
"""Percentage""",0.06,0.04,0.07,0.0,0.0
