, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",193,162,31,0,0
"""Transitional housing for homeless persons (including homeless youth)""",4,4,0,0,0
"""Place not meant for human habitation""",331,308,22,0,1
"""Safe Haven""",7,5,2,0,0
"""Host Home""",1,0,1,0,0
"""Subtotal""",536,479,56,0,1
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",6,6,0,0,0
"""Substance abuse treatment facility or detox center""",13,13,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",33,33,0,0,0
"""Jail, prison or juvenile detention facility""",36,36,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",3,3,0,0,0
"""Subtotal""",91,91,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",2,2,0,0,0
"""Owned by client, no ongoing housing subsidy""",11,10,1,0,0
"""Owned by client, with ongoing housing subsidy""",4,4,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",6,0,6,0,0
"""Rental by client in a public housing unit""",2,2,0,0,0
"""Rental by client, no ongoing housing subsidy""",263,161,99,0,3
"""Rental by client, with VASH housing subsidy""",2,1,1,0,0
"""Rental by client, with GPD TIP housing subsidy""",2,2,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",14,9,5,0,0
"""Hotel or motel paid for without emergency shelter voucher""",167,116,49,0,2
"""Staying or living in a friend''s room, apartment or house""",149,117,31,0,1
"""Staying or living in a family member''s room, apartment or house""",141,95,46,0,0
"""Client Doesn''t Know/Client Refused""",22,22,0,0,0
"""Data not collected""",77,34,38,0,5
"""Subtotal""",862,575,276,0,11
"""Total""",1489,1145,332,0,12
