, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",249,9,17
"""Unemployment Insurance""",4,0,1
"""Supplemental Security Income (SSI)""",154,20,11
"""Social Security Disability Insurance (SSDI)""",110,12,7
"""VA Service - Connected Disability Compensation""",8,1,0
"""VA Non-Service Connected Disability Pension""",5,2,0
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",24,0,4
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",23,6,0
"""Pension or retirement income from a former job""",7,0,0
"""Child Support""",15,0,2
"""Alimony and other spousal support""",0,0,0
"""Other Source""",17,0,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,53,0
