, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",115,7,30
"""Unemployment Insurance""",1,0,0
"""Supplemental Security Income (SSI)""",73,19,15
"""Social Security Disability Insurance (SSDI)""",53,11,9
"""VA Service - Connected Disability Compensation""",6,4,0
"""VA Non-Service Connected Disability Pension""",5,2,2
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",18,0,4
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",4,2,0
"""Pension or retirement income from a former job""",1,0,1
"""Child Support""",12,0,2
"""Alimony and other spousal support""",1,0,0
"""Other Source""",2,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,46,0
