, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",11,6,0
"""Unemployment Insurance""",0,0,0
"""Supplemental Security Income (SSI)""",19,11,0
"""Social Security Disability Insurance (SSDI)""",10,5,0
"""VA Service - Connected Disability Compensation""",5,4,0
"""VA Non-Service Connected Disability Pension""",3,1,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",2,0,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",2,2,0
"""Pension or retirement income from a former job""",0,0,0
"""Child Support""",0,0,0
"""Alimony and other spousal support""",0,0,0
"""Other Source""",0,0,0
"""Chronically Homeless Persons with Income Information at Start and Annual Assessment/Exit""",0,31,0
