, "Total" , "Without Children", "With Children and Adults", "With Only Children", "Unknown Household Type"
"""7 days or less""",12,3,9,0,0
"""8 to 14 days""",3,3,0,0,0
"""15 to 21 days""",3,0,3,0,0
"""22 to 30 days""",0,0,0,0,0
"""31 to 60 days""",2,2,0,0,0
"""61 to 180 days""",1,1,0,0,0
"""181 to 365 days""",0,0,0,0,0
"""366 to 730 days (1-2 Yrs)""",0,0,0,0,0
"""Total (persons moved into housing)""",21,9,12,0,0
"""Average length of time to housing""",12,24,3,0,0
"""Persons who were exited without move-in""",0,0,0,0,0
"""Total""",21,9,12,0,0
