, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",45,36,9,0,0
"""8 to 14 days""",8,5,3,0,0
"""15 to 21 days""",6,2,4,0,0
"""22 to 30 days""",17,7,10,0,0
"""31 to 60 days""",26,14,12,0,0
"""61 to 180 days""",84,60,24,0,0
"""181 to 365 days""",32,12,19,1,0
"""366-730 days (1-2 years)""",20,20,0,0,0
"""731 days or more""",42,33,9,0,0
"""Total (persons moved into housing)""",280,189,90,1,0
"""Not yet moved into housing""",16,3,13,0,0
"""Data not collected""",8,6,2,0,0
"""Total persons""",304,198,105,1,0
