"""Total Number of Persons Served""",587
"""Number of Adults (age 18 or over)""",435
"""Number of Children (under age 18)""",150
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",111
"""Number of Adult Leavers""",88
"""Number of Adult and Head of Household Leavers""",88
"""Number of Stayers""",476
"""Number of Adult Stayers""",347
"""Number of Veterans""",33
"""Number of Chronically Homeless Persons""",77
"""Number of Youth Under Age 25""",26
"""Number of Parenting Youth Under Age 25 with Children""",4
"""Number of Adult Heads of Household""",365
"""Number of Child and Unknown-Age Heads of Household""",2
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",112
