, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",5,18,23,0.22,3,5,8,0.38,0,0,0,0.0
"""Supplemental Security Income (SSI)""",12,1,13,0.92,2,0,2,1.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",8,2,10,0.8,0,0,0,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,0,1,1.0,2,1,3,0.67,0,0,0,0.0
"""Retirement Income from Social Security""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,1,1,2,0.5,0,0,0,0.0
"""Other source""",3,1,4,0.75,0,0,0,0.0,0,0,0,0.0
"""No Sources""",9,19,28,0.32,0,3,3,0.0,0,0,0,0.0
"""Unduplicated Total Adults""",30,39,69,,5,8,13,,0,0,0,
