, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",8,18,26,0.31,1,25,26,0.04,0,0,0,0.0
"""Supplemental Security Income (SSI)""",6,1,7,0.86,3,2,5,0.6,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",4,1,5,0.8,1,0,1,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,1,1,0.0,1,1,2,0.5,0,0,0,0.0
"""Retirement Income from Social Security""",4,0,4,1.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,1,1,0.0,0,3,3,0.0,0,0,0,0.0
"""Other source""",3,1,4,0.75,0,1,1,0.0,0,0,0,0.0
"""No Sources""",15,15,30,0.5,2,4,6,0.33,0,0,0,0.0
"""Unduplicated Total Adults""",36,36,72,,6,32,38,,0,0,0,
