, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",156,6,39
"""$1 -  $150""",4,0,2
"""$151 - $250""",7,0,5
"""$251 - $500""",19,2,3
"""$501 - $1000""",83,14,21
"""$1001 - $1500""",67,5,19
"""$1501 - $2000""",31,1,10
"""$2001+""",40,3,15
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",39,1,2
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,233,0
"""Number of Adult Stayers without Required Annual Assessment""",0,65,0
"""Total Adults""",446,330,116
