"""Total Number of Persons Served""",618
"""Number of Adults (age 18 or over)""",446
"""Number of Children (under age 18)""",171
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",174
"""Number of Adult Leavers""",116
"""Number of Adult and Head of Household Leavers""",117
"""Number of Stayers""",444
"""Number of Adult Stayers""",330
"""Number of Veterans""",16
"""Number of Chronically Homeless Persons""",38
"""Number of Youth Under Age 25""",31
"""Number of Parenting Youth Under Age 25 with Children""",15
"""Number of Adult Heads of Household""",357
"""Number of Child and Unknown-Age Heads of Household""",2
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",97
