number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_start,121
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_annual_assessment_stayers,2
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_exit_leavers,36
Adults with Only Other Income,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_start,101
Adults with Only Other Income,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_annual_assessment_stayers,18
Adults with Only Other Income,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_exit_leavers,18
Adults with Both Earned and Other Income,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_start,24
Adults with Both Earned and Other Income,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_annual_assessment_stayers,1
Adults with Both Earned and Other Income,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_exit_leavers,5
Adults with No Income,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_start,168
Adults with No Income,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_annual_assessment_stayers,4
Adults with No Income,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_exit_leavers,34
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_start,7
Adults with Missing Income Information,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_annual_assessment_stayers,230
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_annual_assessment_stayers,73
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_start,422
Total Adults,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_annual_assessment_stayers,328
Total Adults,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_exit_leavers,94
1 or More Source of Income,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_start,273
1 or More Source of Income,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_annual_assessment_stayers,22
1 or More Source of Income,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_exit_leavers,65
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_annual_assessment_stayers,25
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-10-01,2015-10-31,Q18,number_of_adults_at_exit_leavers,0
