income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,2,14,16,0.13,2,22,24,0.08,0,0,0,0.0,adults,2015-10-01,2015-10-31,Q19b
Supplemental Security Income (SSI),2,0,2,1.0,3,2,5,0.6,0,0,0,0.0,adults,2015-10-01,2015-10-31,Q19b
Social Security Disability Insurance (SSDI),2,0,2,1.0,4,1,5,0.8,0,0,0,0.0,adults,2015-10-01,2015-10-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-10-01,2015-10-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-10-01,2015-10-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-10-01,2015-10-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,2,2,4,0.5,0,0,0,0.0,adults,2015-10-01,2015-10-31,Q19b
Retirement Income from Social Security,0,4,5,0.0,1,1,2,0.5,0,0,0,0.0,adults,2015-10-01,2015-10-31,Q19b
Pension or retirement income from a former job,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-10-01,2015-10-31,Q19b
Child Support,0,0,0,0.0,1,4,5,0.2,0,0,0,0.0,adults,2015-10-01,2015-10-31,Q19b
Other source,0,0,0,0.0,0,2,2,0.0,0,0,0,0.0,adults,2015-10-01,2015-10-31,Q19b
No Sources,2,13,15,0.13,3,10,13,0.23,0,0,0,0.0,adults,2015-10-01,2015-10-31,Q19b
Unduplicated Total Adults,6,31,37,NA,11,37,48,NA,0,0,0,NA,adults,2015-10-01,2015-10-31,Q19b
