race,total,population,start_date,end_date,question,household_type,count
White,453,all_persons,2015-10-01,2015-10-31,Q12a,without_children,191
White,453,all_persons,2015-10-01,2015-10-31,Q12a,with_children_and_adults,261
White,453,all_persons,2015-10-01,2015-10-31,Q12a,with_only_children,0
White,453,all_persons,2015-10-01,2015-10-31,Q12a,unknown_household_type,1
"Black, African American, or African",108,all_persons,2015-10-01,2015-10-31,Q12a,without_children,57
"Black, African American, or African",108,all_persons,2015-10-01,2015-10-31,Q12a,with_children_and_adults,49
"Black, African American, or African",108,all_persons,2015-10-01,2015-10-31,Q12a,with_only_children,2
"Black, African American, or African",108,all_persons,2015-10-01,2015-10-31,Q12a,unknown_household_type,0
Asian or Asian American,1,all_persons,2015-10-01,2015-10-31,Q12a,without_children,1
Asian or Asian American,1,all_persons,2015-10-01,2015-10-31,Q12a,with_children_and_adults,0
Asian or Asian American,1,all_persons,2015-10-01,2015-10-31,Q12a,with_only_children,0
Asian or Asian American,1,all_persons,2015-10-01,2015-10-31,Q12a,unknown_household_type,0
"American Indian, Alaska Native, or Indigenous",0,all_persons,2015-10-01,2015-10-31,Q12a,without_children,0
"American Indian, Alaska Native, or Indigenous",0,all_persons,2015-10-01,2015-10-31,Q12a,with_children_and_adults,0
"American Indian, Alaska Native, or Indigenous",0,all_persons,2015-10-01,2015-10-31,Q12a,with_only_children,0
"American Indian, Alaska Native, or Indigenous",0,all_persons,2015-10-01,2015-10-31,Q12a,unknown_household_type,0
Native Hawaiian or Pacific Islander,0,all_persons,2015-10-01,2015-10-31,Q12a,without_children,0
Native Hawaiian or Pacific Islander,0,all_persons,2015-10-01,2015-10-31,Q12a,with_children_and_adults,0
Native Hawaiian or Pacific Islander,0,all_persons,2015-10-01,2015-10-31,Q12a,with_only_children,0
Native Hawaiian or Pacific Islander,0,all_persons,2015-10-01,2015-10-31,Q12a,unknown_household_type,0
Multiple Races,65,all_persons,2015-10-01,2015-10-31,Q12a,without_children,16
Multiple Races,65,all_persons,2015-10-01,2015-10-31,Q12a,with_children_and_adults,49
Multiple Races,65,all_persons,2015-10-01,2015-10-31,Q12a,with_only_children,0
Multiple Races,65,all_persons,2015-10-01,2015-10-31,Q12a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2015-10-01,2015-10-31,Q12a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2015-10-01,2015-10-31,Q12a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2015-10-01,2015-10-31,Q12a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2015-10-01,2015-10-31,Q12a,unknown_household_type,0
Data Not Collected,2,all_persons,2015-10-01,2015-10-31,Q12a,without_children,1
Data Not Collected,2,all_persons,2015-10-01,2015-10-31,Q12a,with_children_and_adults,0
Data Not Collected,2,all_persons,2015-10-01,2015-10-31,Q12a,with_only_children,0
Data Not Collected,2,all_persons,2015-10-01,2015-10-31,Q12a,unknown_household_type,1
