report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,630,all_persons,2015-10-01,2015-10-31,Q5a
Number of Adults (age 18 or over),422,all_persons,2015-10-01,2015-10-31,Q5a
Number of Children (under age 18),207,all_persons,2015-10-01,2015-10-31,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-10-01,2015-10-31,Q5a
Number of Leavers,157,all_persons,2015-10-01,2015-10-31,Q5a
Number of Adult Leavers,94,all_persons,2015-10-01,2015-10-31,Q5a
Number of Adult and Head of Household Leavers,94,all_persons,2015-10-01,2015-10-31,Q5a
Number of Stayers,473,all_persons,2015-10-01,2015-10-31,Q5a
Number of Adult Stayers,328,all_persons,2015-10-01,2015-10-31,Q5a
Number of Veterans,13,all_persons,2015-10-01,2015-10-31,Q5a
Number of Chronically Homeless Persons,28,all_persons,2015-10-01,2015-10-31,Q5a
Number of Youth Under Age 25,34,all_persons,2015-10-01,2015-10-31,Q5a
Number of Parenting Youth Under Age 25 with Children,15,all_persons,2015-10-01,2015-10-31,Q5a
Number of Adult Heads of Household,338,all_persons,2015-10-01,2015-10-31,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2015-10-01,2015-10-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,98,all_persons,2015-10-01,2015-10-31,Q5a
