income_range,population,start_date,end_date,question,status,count
No Income,adults,2015-10-01,2015-10-31,Q16,income_at_start,134
No Income,adults,2015-10-01,2015-10-31,Q16,income_at_latest_annual_assessment_for_stayers,4
No Income,adults,2015-10-01,2015-10-31,Q16,income_at_exit_for_leavers,29
$1 -  $150,adults,2015-10-01,2015-10-31,Q16,income_at_start,3
$1 -  $150,adults,2015-10-01,2015-10-31,Q16,income_at_latest_annual_assessment_for_stayers,0
$1 -  $150,adults,2015-10-01,2015-10-31,Q16,income_at_exit_for_leavers,0
$151 - $250,adults,2015-10-01,2015-10-31,Q16,income_at_start,5
$151 - $250,adults,2015-10-01,2015-10-31,Q16,income_at_latest_annual_assessment_for_stayers,0
$151 - $250,adults,2015-10-01,2015-10-31,Q16,income_at_exit_for_leavers,1
$251 - $500,adults,2015-10-01,2015-10-31,Q16,income_at_start,16
$251 - $500,adults,2015-10-01,2015-10-31,Q16,income_at_latest_annual_assessment_for_stayers,2
$251 - $500,adults,2015-10-01,2015-10-31,Q16,income_at_exit_for_leavers,3
$501 - $1000,adults,2015-10-01,2015-10-31,Q16,income_at_start,81
$501 - $1000,adults,2015-10-01,2015-10-31,Q16,income_at_latest_annual_assessment_for_stayers,11
$501 - $1000,adults,2015-10-01,2015-10-31,Q16,income_at_exit_for_leavers,15
$1001 - $1500,adults,2015-10-01,2015-10-31,Q16,income_at_start,64
$1001 - $1500,adults,2015-10-01,2015-10-31,Q16,income_at_latest_annual_assessment_for_stayers,5
$1001 - $1500,adults,2015-10-01,2015-10-31,Q16,income_at_exit_for_leavers,17
$1501 - $2000,adults,2015-10-01,2015-10-31,Q16,income_at_start,33
$1501 - $2000,adults,2015-10-01,2015-10-31,Q16,income_at_latest_annual_assessment_for_stayers,0
$1501 - $2000,adults,2015-10-01,2015-10-31,Q16,income_at_exit_for_leavers,12
$2001+,adults,2015-10-01,2015-10-31,Q16,income_at_start,44
$2001+,adults,2015-10-01,2015-10-31,Q16,income_at_latest_annual_assessment_for_stayers,3
$2001+,adults,2015-10-01,2015-10-31,Q16,income_at_exit_for_leavers,11
Client Doesn't Know/Client Refused,adults,2015-10-01,2015-10-31,Q16,income_at_start,0
Client Doesn't Know/Client Refused,adults,2015-10-01,2015-10-31,Q16,income_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,adults,2015-10-01,2015-10-31,Q16,income_at_exit_for_leavers,0
Data Not Collected,adults,2015-10-01,2015-10-31,Q16,income_at_start,42
Data Not Collected,adults,2015-10-01,2015-10-31,Q16,income_at_latest_annual_assessment_for_stayers,0
Data Not Collected,adults,2015-10-01,2015-10-31,Q16,income_at_exit_for_leavers,6
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2015-10-01,2015-10-31,Q16,income_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2015-10-01,2015-10-31,Q16,income_at_latest_annual_assessment_for_stayers,230
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2015-10-01,2015-10-31,Q16,income_at_exit_for_leavers,0
Number of Adult Stayers without Required Annual Assessment,adults,2015-10-01,2015-10-31,Q16,income_at_start,0
Number of Adult Stayers without Required Annual Assessment,adults,2015-10-01,2015-10-31,Q16,income_at_latest_annual_assessment_for_stayers,73
Number of Adult Stayers without Required Annual Assessment,adults,2015-10-01,2015-10-31,Q16,income_at_exit_for_leavers,0
Total Adults,adults,2015-10-01,2015-10-31,Q16,income_at_start,422
Total Adults,adults,2015-10-01,2015-10-31,Q16,income_at_latest_annual_assessment_for_stayers,328
Total Adults,adults,2015-10-01,2015-10-31,Q16,income_at_exit_for_leavers,94
