, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",25,12,13,0,0
"""8 to 14 days""",0,0,0,0,0
"""15 to 21 days""",0,0,0,0,0
"""22 to 30 days""",8,3,5,0,0
"""31 to 60 days""",16,6,10,0,0
"""61 to 180 days""",47,30,17,0,0
"""181 to 365 days""",21,18,3,0,0
"""366-730 days (1-2 years)""",16,16,0,0,0
"""731 days or more""",16,16,0,0,0
"""Total (persons moved into housing)""",149,101,48,0,0
"""Not yet moved into housing""",46,8,38,0,0
"""Data not collected""",96,66,30,0,0
"""Total persons""",291,175,116,0,0
