"""Total Number of Persons Served""",596
"""Number of Adults (age 18 or over)""",444
"""Number of Children (under age 18)""",152
"""Number of Persons with Unknown Age""",0
"""Number of Leavers""",178
"""Number of Adult Leavers""",142
"""Number of Adult and Head of Household Leavers""",142
"""Number of Stayers""",418
"""Number of Adult Stayers""",302
"""Number of Veterans""",19
"""Number of Chronically Homeless Persons""",29
"""Number of Youth Under Age 25""",36
"""Number of Parenting Youth Under Age 25 with Children""",11
"""Number of Adult Heads of Household""",352
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",92
