"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",92,1,33
"""Adults with Only Other Income""",114,7,31
"""Adults with Both Earned and Other Income""",16,1,3
"""Adults with No Income""",217,2,74
"""Adults with Client Doesn't Know/Client Refused Income Information""",1,0,1
"""Adults with Missing Income Information""",4,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,210,0
"""Number of Adult Stayers without Required Annual Assessment""",0,81,0
"""Total Adults""",444,302,142
"""1 or More Source of Income""",236,9,70
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,11,0
