, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",108,2,36
"""Unemployment Insurance""",7,1,2
"""Supplemental Security Income (SSI)""",50,5,13
"""Social Security Disability Insurance (SSDI)""",59,4,13
"""VA Service - Connected Disability Compensation""",3,0,2
"""VA Non-Service Connected Disability Pension""",3,0,1
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",6,0,1
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",9,0,6
"""Pension or retirement income from a former job""",0,0,0
"""Child Support""",16,0,2
"""Alimony and other spousal support""",0,0,0
"""Other Source""",6,0,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,11,0
