, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",144,3,57
"""Unemployment Insurance""",3,1,1
"""Supplemental Security Income (SSI)""",54,15,11
"""Social Security Disability Insurance (SSDI)""",43,9,7
"""VA Service - Connected Disability Compensation""",3,0,0
"""VA Non-Service Connected Disability Pension""",1,0,1
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",5,0,1
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",6,0,1
"""Pension or retirement income from a former job""",0,0,0
"""Child Support""",17,0,7
"""Alimony and other spousal support""",2,0,1
"""Other Source""",3,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,32,0
