, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",20,7,13,0,0
"""8 to 14 days""",1,1,0,0,0
"""15 to 21 days""",2,2,0,0,0
"""22 to 30 days""",10,4,6,0,0
"""31 to 60 days""",24,9,15,0,0
"""61 to 180 days""",39,31,8,0,0
"""181 to 365 days""",23,15,8,0,0
"""366-730 days (1-2 years)""",32,28,4,0,0
"""731 days or more""",23,23,0,0,0
"""Total (persons moved into housing)""",174,120,54,0,0
"""Not yet moved into housing""",33,4,29,0,0
"""Data not collected""",115,87,28,0,0
"""Total persons""",322,211,111,0,0
