"""Total Number of Persons Served""",575
"""Number of Adults (age 18 or over)""",435
"""Number of Children (under age 18)""",139
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",179
"""Number of Adult Leavers""",127
"""Number of Adult and Head of Household Leavers""",130
"""Number of Stayers""",396
"""Number of Adult Stayers""",308
"""Number of Veterans""",19
"""Number of Chronically Homeless Persons""",48
"""Number of Youth Under Age 25""",28
"""Number of Parenting Youth Under Age 25 with Children""",9
"""Number of Adult Heads of Household""",363
"""Number of Child and Unknown-Age Heads of Household""",3
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",104
