, "At Start" , "At Annual Assessment for Stayers" , "At Exit for Leavers"
"""MEDICAID""",228,22,83
"""MEDICARE""",58,10,8
"""State Children's Health Insurance Program""",9,0,1
"""Veteran's Administration (VA) Medical Services""",6,0,3
"""Employer - Provided Health Insurance""",28,0,6
"""Health Insurance obtained through COBRA""",1,0,0
"""Private Pay Health Insurance""",29,4,0
"""State Health Insurance for Adults""",8,1,2
"""Indian Health Services Program""",1,0,0
"""Other""",1,0,0
"""No Health Insurance""",251,6,84
"""Client Doesn't Know/Client Refused""",2,0,1
"""Data Not Collected""",10,79,0
"""Number of Stayers not yet Required To Have an Annual Assessment""",0,282,0
"""1 Source of Health Insurance""",267,21,86
"""More than 1 Source of Health Insurance""",46,8,8
