count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,493,109,179,start,2020-08-01,2020-08-31,Q13a2,without_children,185
None,493,109,179,start,2020-08-01,2020-08-31,Q13a2,with_only_children,12
None,493,109,179,start,2020-08-01,2020-08-31,Q13a2,unknown_household_type,8
1 Condition,236,23,10,start,2020-08-01,2020-08-31,Q13a2,without_children,202
1 Condition,236,23,10,start,2020-08-01,2020-08-31,Q13a2,with_only_children,0
1 Condition,236,23,10,start,2020-08-01,2020-08-31,Q13a2,unknown_household_type,1
2 Conditions,111,5,3,start,2020-08-01,2020-08-31,Q13a2,without_children,103
2 Conditions,111,5,3,start,2020-08-01,2020-08-31,Q13a2,with_only_children,0
2 Conditions,111,5,3,start,2020-08-01,2020-08-31,Q13a2,unknown_household_type,0
3+ Conditions,83,2,0,start,2020-08-01,2020-08-31,Q13a2,without_children,81
3+ Conditions,83,2,0,start,2020-08-01,2020-08-31,Q13a2,with_only_children,0
3+ Conditions,83,2,0,start,2020-08-01,2020-08-31,Q13a2,unknown_household_type,0
Condition Unknown,70,1,1,start,2020-08-01,2020-08-31,Q13a2,without_children,68
Condition Unknown,70,1,1,start,2020-08-01,2020-08-31,Q13a2,with_only_children,0
Condition Unknown,70,1,1,start,2020-08-01,2020-08-31,Q13a2,unknown_household_type,0
Client Doesn't Know/Client Refused,1,0,0,start,2020-08-01,2020-08-31,Q13a2,without_children,1
Client Doesn't Know/Client Refused,1,0,0,start,2020-08-01,2020-08-31,Q13a2,with_only_children,0
Client Doesn't Know/Client Refused,1,0,0,start,2020-08-01,2020-08-31,Q13a2,unknown_household_type,0
Data Not Collected,47,8,22,start,2020-08-01,2020-08-31,Q13a2,without_children,11
Data Not Collected,47,8,22,start,2020-08-01,2020-08-31,Q13a2,with_only_children,3
Data Not Collected,47,8,22,start,2020-08-01,2020-08-31,Q13a2,unknown_household_type,3
