report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1041,all_persons,2020-08-01,2020-08-31,Q5a
Number of Adults (age 18 or over),802,all_persons,2020-08-01,2020-08-31,Q5a
Number of Children (under age 18),230,all_persons,2020-08-01,2020-08-31,Q5a
Number of Persons with Unknown Age,9,all_persons,2020-08-01,2020-08-31,Q5a
Number of Leavers,173,all_persons,2020-08-01,2020-08-31,Q5a
Number of Adult Leavers,158,all_persons,2020-08-01,2020-08-31,Q5a
Number of Adult and Head of Household Leavers,158,all_persons,2020-08-01,2020-08-31,Q5a
Number of Stayers,868,all_persons,2020-08-01,2020-08-31,Q5a
Number of Adult Stayers,644,all_persons,2020-08-01,2020-08-31,Q5a
Number of Veterans,45,all_persons,2020-08-01,2020-08-31,Q5a
Number of Chronically Homeless Persons,158,all_persons,2020-08-01,2020-08-31,Q5a
Number of Youth Under Age 25,53,all_persons,2020-08-01,2020-08-31,Q5a
Number of Parenting Youth Under Age 25 with Children,8,all_persons,2020-08-01,2020-08-31,Q5a
Number of Adult Heads of Household,661,all_persons,2020-08-01,2020-08-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2020-08-01,2020-08-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,277,all_persons,2020-08-01,2020-08-31,Q5a
