veteran_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,16,all_persons,2020-08-01,2020-08-31,Q25a,without_children,16
Chronically Homeless Veteran,16,all_persons,2020-08-01,2020-08-31,Q25a,with_children_and_adults,0
Chronically Homeless Veteran,16,all_persons,2020-08-01,2020-08-31,Q25a,unknown_household_type,0
Non-Chronically Homeless Veteran,29,all_persons,2020-08-01,2020-08-31,Q25a,without_children,26
Non-Chronically Homeless Veteran,29,all_persons,2020-08-01,2020-08-31,Q25a,with_children_and_adults,3
Non-Chronically Homeless Veteran,29,all_persons,2020-08-01,2020-08-31,Q25a,unknown_household_type,0
Not a Veteran,747,all_persons,2020-08-01,2020-08-31,Q25a,without_children,602
Not a Veteran,747,all_persons,2020-08-01,2020-08-31,Q25a,with_children_and_adults,142
Not a Veteran,747,all_persons,2020-08-01,2020-08-31,Q25a,unknown_household_type,3
Client Doesn't Know/Client Refused,1,all_persons,2020-08-01,2020-08-31,Q25a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2020-08-01,2020-08-31,Q25a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2020-08-01,2020-08-31,Q25a,unknown_household_type,0
Data Not Collected,9,all_persons,2020-08-01,2020-08-31,Q25a,without_children,6
Data Not Collected,9,all_persons,2020-08-01,2020-08-31,Q25a,with_children_and_adults,3
Data Not Collected,9,all_persons,2020-08-01,2020-08-31,Q25a,unknown_household_type,0
