income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,12,8,20,0.6,1,3,4,0.25,0,0,0,0.0,adults,2020-08-01,2020-08-31,Q19b
Supplemental Security Income (SSI),19,2,21,0.9,0,0,0,0.0,0,0,0,0.0,adults,2020-08-01,2020-08-31,Q19b
Social Security Disability Insurance (SSDI),12,1,13,0.92,1,0,1,1.0,0,0,0,0.0,adults,2020-08-01,2020-08-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-08-01,2020-08-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-08-01,2020-08-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-08-01,2020-08-31,Q19b
Temporary Assistance for Needy Families (TANF),3,0,3,1.0,0,0,0,0.0,0,0,0,0.0,adults,2020-08-01,2020-08-31,Q19b
Retirement Income from Social Security,3,0,3,1.0,0,0,0,0.0,0,0,0,0.0,adults,2020-08-01,2020-08-31,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-08-01,2020-08-31,Q19b
Child Support,3,1,4,0.75,0,0,0,0.0,0,0,0,0.0,adults,2020-08-01,2020-08-31,Q19b
Other source,1,0,1,1.0,0,2,2,0.0,0,0,0,0.0,adults,2020-08-01,2020-08-31,Q19b
No Sources,12,16,28,0.43,0,2,2,0.0,0,0,0,0.0,adults,2020-08-01,2020-08-31,Q19b
Unduplicated Total Adults,48,28,76,NA,2,7,9,NA,0,0,0,NA,adults,2020-08-01,2020-08-31,Q19b
