report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,532,all_persons,2017-04-01,2017-04-30,Q5a
Number of Adults (age 18 or over),406,all_persons,2017-04-01,2017-04-30,Q5a
Number of Children (under age 18),124,all_persons,2017-04-01,2017-04-30,Q5a
Number of Persons with Unknown Age,2,all_persons,2017-04-01,2017-04-30,Q5a
Number of Leavers,138,all_persons,2017-04-01,2017-04-30,Q5a
Number of Adult Leavers,104,all_persons,2017-04-01,2017-04-30,Q5a
Number of Adult and Head of Household Leavers,104,all_persons,2017-04-01,2017-04-30,Q5a
Number of Stayers,394,all_persons,2017-04-01,2017-04-30,Q5a
Number of Adult Stayers,302,all_persons,2017-04-01,2017-04-30,Q5a
Number of Veterans,21,all_persons,2017-04-01,2017-04-30,Q5a
Number of Chronically Homeless Persons,56,all_persons,2017-04-01,2017-04-30,Q5a
Number of Youth Under Age 25,13,all_persons,2017-04-01,2017-04-30,Q5a
Number of Parenting Youth Under Age 25 with Children,3,all_persons,2017-04-01,2017-04-30,Q5a
Number of Adult Heads of Household,348,all_persons,2017-04-01,2017-04-30,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2017-04-01,2017-04-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,131,all_persons,2017-04-01,2017-04-30,Q5a
