income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,3,16,19,0.16,5,6,11,0.45,0,0,0,0.0,adults,2017-04-01,2017-04-30,Q19b
Supplemental Security Income (SSI),7,2,9,0.78,1,0,1,1.0,0,0,0,0.0,adults,2017-04-01,2017-04-30,Q19b
Social Security Disability Insurance (SSDI),7,1,8,0.88,0,0,0,0.0,0,0,0,0.0,adults,2017-04-01,2017-04-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-04-01,2017-04-30,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-04-01,2017-04-30,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-04-01,2017-04-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,2,2,4,0.5,0,0,0,0.0,adults,2017-04-01,2017-04-30,Q19b
Retirement Income from Social Security,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-04-01,2017-04-30,Q19b
Pension or retirement income from a former job,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2017-04-01,2017-04-30,Q19b
Child Support,0,1,1,0.0,0,1,1,0.0,0,0,0,0.0,adults,2017-04-01,2017-04-30,Q19b
Other source,0,3,3,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-04-01,2017-04-30,Q19b
No Sources,13,24,37,0.35,2,6,8,0.25,0,0,0,0.0,adults,2017-04-01,2017-04-30,Q19b
Unduplicated Total Adults,29,45,74,NA,8,13,21,NA,0,0,0,NA,adults,2017-04-01,2017-04-30,Q19b
