veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,16,all_households,2017-04-01,2017-04-30,Q25b,without_children,16
Chronically Homeless Veteran,16,all_households,2017-04-01,2017-04-30,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,16,all_households,2017-04-01,2017-04-30,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,5,all_households,2017-04-01,2017-04-30,Q25b,without_children,4
Non-Chronically Homeless Veteran,5,all_households,2017-04-01,2017-04-30,Q25b,with_children_and_adults,1
Non-Chronically Homeless Veteran,5,all_households,2017-04-01,2017-04-30,Q25b,unknown_household_type,0
Not a Veteran,313,all_households,2017-04-01,2017-04-30,Q25b,without_children,255
Not a Veteran,313,all_households,2017-04-01,2017-04-30,Q25b,with_children_and_adults,58
Not a Veteran,313,all_households,2017-04-01,2017-04-30,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_households,2017-04-01,2017-04-30,Q25b,without_children,1
Client Doesn't Know/Client Refused,1,all_households,2017-04-01,2017-04-30,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_households,2017-04-01,2017-04-30,Q25b,unknown_household_type,0
Data Not Collected,13,all_households,2017-04-01,2017-04-30,Q25b,without_children,13
Data Not Collected,13,all_households,2017-04-01,2017-04-30,Q25b,with_children_and_adults,0
Data Not Collected,13,all_households,2017-04-01,2017-04-30,Q25b,unknown_household_type,0
