, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",49,30,19,0,0
"""8 to 14 days""",8,0,8,0,0
"""15 to 21 days""",4,1,3,0,0
"""22 to 30 days""",13,4,9,0,0
"""31 to 60 days""",31,11,20,0,0
"""61 to 180 days""",31,13,17,1,0
"""181 to 365 days""",19,9,10,0,0
"""366-730 days (1-2 years)""",25,22,3,0,0
"""731 days or more""",24,24,0,0,0
"""Total (persons moved into housing)""",204,114,89,1,0
"""Not yet moved into housing""",29,2,27,0,0
"""Data not collected""",10,5,5,0,0
"""Total persons""",243,121,121,1,0
