, "At Start" , "At Annual Assessment for Stayers" , "At Exit for Leavers"
"""MEDICAID""",228,22,22
"""MEDICARE""",68,10,7
"""State Children's Health Insurance Program""",0,0,0
"""Veteran's Administration (VA) Medical Services""",9,10,0
"""Employer - Provided Health Insurance""",20,1,1
"""Health Insurance obtained through COBRA""",0,0,0
"""Private Pay Health Insurance""",30,2,1
"""State Health Insurance for Adults""",6,0,0
"""Indian Health Services Program""",0,0,0
"""Other""",2,0,0
"""No Health Insurance""",196,13,22
"""Client Doesn't Know/Client Refused""",1,0,0
"""Data Not Collected""",38,99,14
"""Number of Stayers not yet Required To Have an Annual Assessment""",0,336,0
"""1 Source of Health Insurance""",264,28,21
"""More than 1 Source of Health Insurance""",48,8,5
