, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",106,12,11
"""$1 -  $150""",2,1,0
"""$151 - $250""",6,0,0
"""$251 - $500""",16,0,0
"""$501 - $1000""",81,13,6
"""$1001 - $1500""",65,10,8
"""$1501 - $2000""",26,3,3
"""$2001+""",38,2,4
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",46,5,11
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,207,0
"""Number of Adult Stayers without Required Annual Assessment""",0,90,0
"""Total Adults""",386,343,43
