"""Total Number of Persons Served""",546
"""Number of Adults (age 18 or over)""",386
"""Number of Children (under age 18)""",158
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",62
"""Number of Adult Leavers""",43
"""Number of Adult and Head of Household Leavers""",43
"""Number of Stayers""",484
"""Number of Adult Stayers""",343
"""Number of Veterans""",20
"""Number of Chronically Homeless Persons""",48
"""Number of Youth Under Age 25""",15
"""Number of Parenting Youth Under Age 25 with Children""",3
"""Number of Adult Heads of Household""",313
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",136
