, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",35,15,20,0,0
"""8 to 14 days""",6,3,3,0,0
"""15 to 21 days""",18,1,17,0,0
"""22 to 30 days""",10,0,10,0,0
"""31 to 60 days""",28,12,16,0,0
"""61 to 180 days""",56,18,38,0,0
"""181 to 365 days""",24,19,5,0,0
"""366-730 days (1-2 years)""",28,24,4,0,0
"""731 days or more""",22,22,0,0,0
"""Total (persons moved into housing)""",227,114,113,0,0
"""Not yet moved into housing""",25,6,19,0,0
"""Data not collected""",50,27,23,0,0
"""Total persons""",302,147,155,0,0
