, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",160,2,61
"""Unemployment Insurance""",4,1,1
"""Supplemental Security Income (SSI)""",77,13,18
"""Social Security Disability Insurance (SSDI)""",48,9,9
"""VA Service - Connected Disability Compensation""",5,0,2
"""VA Non-Service Connected Disability Pension""",3,0,1
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",11,0,2
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",8,0,4
"""Pension or retirement income from a former job""",3,0,1
"""Child Support""",23,0,8
"""Alimony and other spousal support""",1,0,1
"""Other Source""",7,0,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,31,0
