"""Total Number of Persons Served""",738
"""Number of Adults (age 18 or over)""",478
"""Number of Children (under age 18)""",258
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",226
"""Number of Adult Leavers""",133
"""Number of Adult and Head of Household Leavers""",133
"""Number of Stayers""",512
"""Number of Adult Stayers""",345
"""Number of Veterans""",27
"""Number of Chronically Homeless Persons""",51
"""Number of Youth Under Age 25""",32
"""Number of Parenting Youth Under Age 25 with Children""",13
"""Number of Adult Heads of Household""",369
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",109
