, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",113,75,38,0,0
"""Transitional housing for homeless persons (including homeless youth)""",3,3,0,0,0
"""Place not meant for human habitation""",48,34,14,0,0
"""Safe Haven""",0,0,0,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",164,112,52,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",1,1,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",4,4,0,0,0
"""Jail, prison or juvenile detention facility""",9,8,1,0,0
"""Foster care home or foster care group home""",1,1,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Subtotal""",16,15,1,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",2,2,0,0,0
"""Owned by client, no ongoing housing subsidy""",18,11,7,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",156,95,61,0,0
"""Rental by client, with VASH housing subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",1,1,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",7,2,5,0,0
"""Hotel or motel paid for without emergency shelter voucher""",34,15,19,0,0
"""Staying or living in a friend''s room, apartment or house""",24,14,10,0,0
"""Staying or living in a family member''s room, apartment or house""",46,19,27,0,0
"""Client Doesn''t Know/Client Refused""",0,0,0,0,0
"""Data not collected""",10,7,2,0,1
"""Subtotal""",298,166,131,0,1
"""Total""",478,293,184,0,1
