, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",8,11,19,0.42,5,34,39,0.13,0,0,0,0.0
"""Supplemental Security Income (SSI)""",12,2,14,0.86,3,1,4,0.75,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",8,0,8,1.0,1,1,2,0.5,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",2,0,2,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,1,1,0.0,0,1,1,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",1,3,4,0.25,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,1,1,0.0,1,6,7,0.14,0,0,0,0.0
"""Other source""",2,1,3,0.67,1,1,2,0.5,0,0,0,0.0
"""No Sources""",7,9,16,0.44,3,15,18,0.17,0,0,0,0.0
"""Unduplicated Total Adults""",33,26,59,,12,51,63,,0,0,0,
