"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",135,2,51
"""Adults with Only Other Income""",132,19,29
"""Adults with Both Earned and Other Income""",24,0,10
"""Adults with No Income""",176,10,41
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",11,0,2
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,236,0
"""Number of Adult Stayers without Required Annual Assessment""",0,78,0
"""Total Adults""",478,345,133
"""1 or More Source of Income""",312,25,92
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,31,0
