, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",143,9,35
"""$1 -  $150""",2,0,0
"""$151 - $250""",5,0,3
"""$251 - $500""",24,1,5
"""$501 - $1000""",97,9,22
"""$1001 - $1500""",72,8,16
"""$1501 - $2000""",49,1,24
"""$2001+""",42,2,20
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",44,1,8
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,236,0
"""Number of Adult Stayers without Required Annual Assessment""",0,78,0
"""Total Adults""",478,345,133
