"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",121,2,36
"""Adults with Only Other Income""",101,18,18
"""Adults with Both Earned and Other Income""",24,1,5
"""Adults with No Income""",168,4,34
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",7,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,230,0
"""Number of Adult Stayers without Required Annual Assessment""",0,73,0
"""Total Adults""",422,328,94
"""1 or More Source of Income""",273,22,65
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,25,0
