, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",2,14,16,0.13,2,22,24,0.08,0,0,0,0.0
"""Supplemental Security Income (SSI)""",2,0,2,1.0,3,2,5,0.6,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",2,0,2,1.0,4,1,5,0.8,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,2,2,4,0.5,0,0,0,0.0
"""Retirement Income from Social Security""",0,4,5,0.0,1,1,2,0.5,0,0,0,0.0
"""Pension or retirement income from a former job""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,1,4,5,0.2,0,0,0,0.0
"""Other source""",0,0,0,0.0,0,2,2,0.0,0,0,0,0.0
"""No Sources""",2,13,15,0.13,3,10,13,0.23,0,0,0,0.0
"""Unduplicated Total Adults""",6,31,37,,11,37,48,,0,0,0,
