, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",145,3,41
"""Unemployment Insurance""",3,1,0
"""Supplemental Security Income (SSI)""",49,14,7
"""Social Security Disability Insurance (SSDI)""",49,7,8
"""VA Service - Connected Disability Compensation""",0,0,0
"""VA Non-Service Connected Disability Pension""",0,0,0
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",13,0,4
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",12,0,7
"""Pension or retirement income from a former job""",3,0,1
"""Child Support""",20,0,5
"""Alimony and other spousal support""",1,0,1
"""Other Source""",4,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,25,0
