, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",22,15,7,0,0
"""8 to 14 days""",1,1,0,0,0
"""15 to 21 days""",1,1,0,0,0
"""22 to 30 days""",10,1,9,0,0
"""31 to 60 days""",32,4,28,0,0
"""61 to 180 days""",58,23,35,0,0
"""181 to 365 days""",21,9,12,0,0
"""366-730 days (1-2 years)""",15,12,3,0,0
"""731 days or more""",9,8,1,0,0
"""Total (persons moved into housing)""",169,74,95,0,0
"""Not yet moved into housing""",52,19,33,0,0
"""Data not collected""",104,57,47,0,0
"""Total persons""",325,150,175,0,0
