"""Number of Youth by Income Category""", "Number of Youth at Start" , "Number of Youth at Annual Assessment (Stayers)" , "Number of Youth at Exit (Leavers)"
"""Youth with Only Earned Income (ie.e, Employment Income)""",14,0,9
"""Youth with Only Other Income""",2,0,1
"""Youth with Both Earned and Other Income""",1,0,0
"""Youth with No Income""",15,1,7
"""Youth with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Youth with Missing Income Information""",2,0,0
"""Number of Youth Stayers not yet Required to Have an Annual Assessment""",0,14,0
"""Number of Youth Stayers without Required Annual Assessment""",0,2,0
"""Total Youth""",34,17,17
"""1 or More Source of Income""",18,1,10
"""Youth with Income Information at Start and Annual Assessment/Exit""",0,1,0
