"""Total Number of Persons Served""",630
"""Number of Adults (age 18 or over)""",422
"""Number of Children (under age 18)""",207
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",157
"""Number of Adult Leavers""",94
"""Number of Adult and Head of Household Leavers""",94
"""Number of Stayers""",473
"""Number of Adult Stayers""",328
"""Number of Veterans""",13
"""Number of Chronically Homeless Persons""",28
"""Number of Youth Under Age 25""",34
"""Number of Parenting Youth Under Age 25 with Children""",15
"""Number of Adult Heads of Household""",338
"""Number of Child and Unknown-Age Heads of Household""",2
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",98
