report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,714,all_persons,2016-11-01,2016-11-30,Q5a
Number of Adults (age 18 or over),491,all_persons,2016-11-01,2016-11-30,Q5a
Number of Children (under age 18),221,all_persons,2016-11-01,2016-11-30,Q5a
Number of Persons with Unknown Age,2,all_persons,2016-11-01,2016-11-30,Q5a
Number of Leavers,133,all_persons,2016-11-01,2016-11-30,Q5a
Number of Adult Leavers,95,all_persons,2016-11-01,2016-11-30,Q5a
Number of Adult and Head of Household Leavers,95,all_persons,2016-11-01,2016-11-30,Q5a
Number of Stayers,581,all_persons,2016-11-01,2016-11-30,Q5a
Number of Adult Stayers,396,all_persons,2016-11-01,2016-11-30,Q5a
Number of Veterans,27,all_persons,2016-11-01,2016-11-30,Q5a
Number of Chronically Homeless Persons,60,all_persons,2016-11-01,2016-11-30,Q5a
Number of Youth Under Age 25,32,all_persons,2016-11-01,2016-11-30,Q5a
Number of Parenting Youth Under Age 25 with Children,11,all_persons,2016-11-01,2016-11-30,Q5a
Number of Adult Heads of Household,395,all_persons,2016-11-01,2016-11-30,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2016-11-01,2016-11-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,109,all_persons,2016-11-01,2016-11-30,Q5a
