length_participation,total,population,start_date,end_date,question,status,count
30 days or less,13,youth,2016-11-01,2016-11-30,Q27e,leavers,6
30 days or less,13,youth,2016-11-01,2016-11-30,Q27e,stayers,7
31 to 60 days,4,youth,2016-11-01,2016-11-30,Q27e,leavers,0
31 to 60 days,4,youth,2016-11-01,2016-11-30,Q27e,stayers,4
61 to 90 days,8,youth,2016-11-01,2016-11-30,Q27e,leavers,3
61 to 90 days,8,youth,2016-11-01,2016-11-30,Q27e,stayers,5
91 to 180 days,2,youth,2016-11-01,2016-11-30,Q27e,leavers,2
91 to 180 days,2,youth,2016-11-01,2016-11-30,Q27e,stayers,0
181 to 365 days,1,youth,2016-11-01,2016-11-30,Q27e,leavers,0
181 to 365 days,1,youth,2016-11-01,2016-11-30,Q27e,stayers,1
366 to 730 Days (1-2 Yrs),1,youth,2016-11-01,2016-11-30,Q27e,leavers,0
366 to 730 Days (1-2 Yrs),1,youth,2016-11-01,2016-11-30,Q27e,stayers,1
"731 to 1,095 Days (2-3 Yrs)",1,youth,2016-11-01,2016-11-30,Q27e,leavers,1
"731 to 1,095 Days (2-3 Yrs)",1,youth,2016-11-01,2016-11-30,Q27e,stayers,0
"1,096 to 1,460 Days (3-4 Yrs)",0,youth,2016-11-01,2016-11-30,Q27e,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",0,youth,2016-11-01,2016-11-30,Q27e,stayers,0
"1,461 to 1,825 Days (5-5 Yrs)",2,youth,2016-11-01,2016-11-30,Q27e,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",2,youth,2016-11-01,2016-11-30,Q27e,stayers,2
"More than 1,825 Days (>5 Yrs)",0,youth,2016-11-01,2016-11-30,Q27e,leavers,0
"More than 1,825 Days (>5 Yrs)",0,youth,2016-11-01,2016-11-30,Q27e,stayers,0
Data Not Collected,0,youth,2016-11-01,2016-11-30,Q27e,leavers,0
Data Not Collected,0,youth,2016-11-01,2016-11-30,Q27e,stayers,0
