number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_start,133
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_annual_assessment_stayers,0
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_exit_leavers,34
Adults with Only Other Income,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_start,141
Adults with Only Other Income,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_annual_assessment_stayers,19
Adults with Only Other Income,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_exit_leavers,22
Adults with Both Earned and Other Income,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_start,21
Adults with Both Earned and Other Income,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_exit_leavers,3
Adults with No Income,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_start,190
Adults with No Income,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_annual_assessment_stayers,7
Adults with No Income,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_exit_leavers,36
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_start,6
Adults with Missing Income Information,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_annual_assessment_stayers,287
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_annual_assessment_stayers,83
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_start,491
Total Adults,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_annual_assessment_stayers,396
Total Adults,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_exit_leavers,95
1 or More Source of Income,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_start,308
1 or More Source of Income,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_annual_assessment_stayers,22
1 or More Source of Income,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_exit_leavers,60
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_annual_assessment_stayers,26
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-11-01,2016-11-30,Q18,number_of_adults_at_exit_leavers,0
