living_situation,total,population,start_date,end_date,question,category,household_type,count
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",8,youth,2016-11-01,2016-11-30,Q27d,Homeless Situations,without_children,4
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",8,youth,2016-11-01,2016-11-30,Q27d,Homeless Situations,with_children_and_adults,4
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",8,youth,2016-11-01,2016-11-30,Q27d,Homeless Situations,with_only_children,0
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",8,youth,2016-11-01,2016-11-30,Q27d,Homeless Situations,unknown_household_type,0
Transitional housing for homeless persons (including homeless youth),0,youth,2016-11-01,2016-11-30,Q27d,NA,without_children,0
Transitional housing for homeless persons (including homeless youth),0,youth,2016-11-01,2016-11-30,Q27d,NA,with_children_and_adults,0
Transitional housing for homeless persons (including homeless youth),0,youth,2016-11-01,2016-11-30,Q27d,NA,with_only_children,0
Transitional housing for homeless persons (including homeless youth),0,youth,2016-11-01,2016-11-30,Q27d,NA,unknown_household_type,0
Place not meant for human habitation,1,youth,2016-11-01,2016-11-30,Q27d,NA,without_children,1
Place not meant for human habitation,1,youth,2016-11-01,2016-11-30,Q27d,NA,with_children_and_adults,0
Place not meant for human habitation,1,youth,2016-11-01,2016-11-30,Q27d,NA,with_only_children,0
Place not meant for human habitation,1,youth,2016-11-01,2016-11-30,Q27d,NA,unknown_household_type,0
Safe Haven,0,youth,2016-11-01,2016-11-30,Q27d,NA,without_children,0
Safe Haven,0,youth,2016-11-01,2016-11-30,Q27d,NA,with_children_and_adults,0
Safe Haven,0,youth,2016-11-01,2016-11-30,Q27d,NA,with_only_children,0
Safe Haven,0,youth,2016-11-01,2016-11-30,Q27d,NA,unknown_household_type,0
Host Home,0,youth,2016-11-01,2016-11-30,Q27d,NA,without_children,0
Host Home,0,youth,2016-11-01,2016-11-30,Q27d,NA,with_children_and_adults,0
Host Home,0,youth,2016-11-01,2016-11-30,Q27d,NA,with_only_children,0
Host Home,0,youth,2016-11-01,2016-11-30,Q27d,NA,unknown_household_type,0
Psychiatric hospital or other psychiatric facility,0,youth,2016-11-01,2016-11-30,Q27d,Institutional Settings,without_children,0
Psychiatric hospital or other psychiatric facility,0,youth,2016-11-01,2016-11-30,Q27d,Institutional Settings,with_children_and_adults,0
Psychiatric hospital or other psychiatric facility,0,youth,2016-11-01,2016-11-30,Q27d,Institutional Settings,with_only_children,0
Psychiatric hospital or other psychiatric facility,0,youth,2016-11-01,2016-11-30,Q27d,Institutional Settings,unknown_household_type,0
Substance abuse treatment facility or detox center,0,youth,2016-11-01,2016-11-30,Q27d,NA,without_children,0
Substance abuse treatment facility or detox center,0,youth,2016-11-01,2016-11-30,Q27d,NA,with_children_and_adults,0
Substance abuse treatment facility or detox center,0,youth,2016-11-01,2016-11-30,Q27d,NA,with_only_children,0
Substance abuse treatment facility or detox center,0,youth,2016-11-01,2016-11-30,Q27d,NA,unknown_household_type,0
Hospital or other residential non-psychiatric medical facility,0,youth,2016-11-01,2016-11-30,Q27d,NA,without_children,0
Hospital or other residential non-psychiatric medical facility,0,youth,2016-11-01,2016-11-30,Q27d,NA,with_children_and_adults,0
Hospital or other residential non-psychiatric medical facility,0,youth,2016-11-01,2016-11-30,Q27d,NA,with_only_children,0
Hospital or other residential non-psychiatric medical facility,0,youth,2016-11-01,2016-11-30,Q27d,NA,unknown_household_type,0
"Jail, prison or juvenile detention facility",2,youth,2016-11-01,2016-11-30,Q27d,NA,without_children,2
"Jail, prison or juvenile detention facility",2,youth,2016-11-01,2016-11-30,Q27d,NA,with_children_and_adults,0
"Jail, prison or juvenile detention facility",2,youth,2016-11-01,2016-11-30,Q27d,NA,with_only_children,0
"Jail, prison or juvenile detention facility",2,youth,2016-11-01,2016-11-30,Q27d,NA,unknown_household_type,0
Foster care home or foster care group home,1,youth,2016-11-01,2016-11-30,Q27d,NA,without_children,1
Foster care home or foster care group home,1,youth,2016-11-01,2016-11-30,Q27d,NA,with_children_and_adults,0
Foster care home or foster care group home,1,youth,2016-11-01,2016-11-30,Q27d,NA,with_only_children,0
Foster care home or foster care group home,1,youth,2016-11-01,2016-11-30,Q27d,NA,unknown_household_type,0
Long-term care facility or nursing home,0,youth,2016-11-01,2016-11-30,Q27d,NA,without_children,0
Long-term care facility or nursing home,0,youth,2016-11-01,2016-11-30,Q27d,NA,with_children_and_adults,0
Long-term care facility or nursing home,0,youth,2016-11-01,2016-11-30,Q27d,NA,with_only_children,0
Long-term care facility or nursing home,0,youth,2016-11-01,2016-11-30,Q27d,NA,unknown_household_type,0
Residential project or halfway house with no homeless criteria,0,youth,2016-11-01,2016-11-30,Q27d,NA,without_children,0
Residential project or halfway house with no homeless criteria,0,youth,2016-11-01,2016-11-30,Q27d,NA,with_children_and_adults,0
Residential project or halfway house with no homeless criteria,0,youth,2016-11-01,2016-11-30,Q27d,NA,with_only_children,0
Residential project or halfway house with no homeless criteria,0,youth,2016-11-01,2016-11-30,Q27d,NA,unknown_household_type,0
Permanent housing (other than RRH) for formerly homeless persons,0,youth,2016-11-01,2016-11-30,Q27d,Other Locations,without_children,0
Permanent housing (other than RRH) for formerly homeless persons,0,youth,2016-11-01,2016-11-30,Q27d,Other Locations,with_children_and_adults,0
